contrast,estimate,SE,df,t.ratio,p.value
ALL A200 A_Wet - ANT A200 A_Wet,-0.04116423925523567,NA,1051,NA,NA
ALL A200 A_Wet - CN1 A200 A_Wet,-0.0658173082873473,NA,1051,NA,NA
ALL A200 A_Wet - VER A200 A_Wet,0.00590731814112682,NA,1051,NA,NA
ALL A200 A_Wet - ALL B700 A_Wet,-0.02941341937776429,NA,1051,NA,NA
ALL A200 A_Wet - ANT B700 A_Wet,-0.06061194514496434,NA,1051,NA,NA
ALL A200 A_Wet - CN1 B700 A_Wet,-0.05483527038616503,NA,1051,NA,NA
ALL A200 A_Wet - VER B700 A_Wet,-0.01638574982173315,NA,1051,NA,NA
ALL A200 A_Wet - ALL C1200 A_Wet,-0.025284521921315622,NA,1051,NA,NA
ALL A200 A_Wet - ANT C1200 A_Wet,-0.11343509513224653,NA,1051,NA,NA
ALL A200 A_Wet - CN1 C1200 A_Wet,-0.090513881162578,NA,1051,NA,NA
ALL A200 A_Wet - VER C1200 A_Wet,-0.03188549912231563,NA,1051,NA,NA
ALL A200 A_Wet - ALL D1700 A_Wet,-0.044974733416227625,NA,1051,NA,NA
ALL A200 A_Wet - ANT D1700 A_Wet,-0.07133098063770746,NA,1051,NA,NA
ALL A200 A_Wet - CN1 D1700 A_Wet,-0.08825572012147959,NA,1051,NA,NA
ALL A200 A_Wet - VER D1700 A_Wet,-0.031510063176181775,NA,1051,NA,NA
ALL A200 A_Wet - ALL E2200 A_Wet,-0.041042584625751506,NA,1051,NA,NA
ALL A200 A_Wet - ANT E2200 A_Wet,-0.07966794150384494,NA,1051,NA,NA
ALL A200 A_Wet - CN1 E2200 A_Wet,-0.11111552014135481,NA,1051,NA,NA
ALL A200 A_Wet - VER E2200 A_Wet,-0.13013405648140491,NA,1051,NA,NA
ALL A200 A_Wet - ALL F2700 A_Wet,-0.03188890836629225,NA,1051,NA,NA
ALL A200 A_Wet - ANT F2700 A_Wet,-0.12100550702794112,NA,1051,NA,NA
ALL A200 A_Wet - CN1 F2700 A_Wet,-0.08333728752336109,NA,1051,NA,NA
ALL A200 A_Wet - VER F2700 A_Wet,-0.03972173171777496,NA,1051,NA,NA
ALL A200 A_Wet - ALL G3200 A_Wet,0.31395335794958934,NA,1051,NA,NA
ALL A200 A_Wet - ANT G3200 A_Wet,-0.7272108813056464,NA,1051,NA,NA
ALL A200 A_Wet - CN1 G3200 A_Wet,-0.07497146611463226,NA,1051,NA,NA
ALL A200 A_Wet - VER G3200 A_Wet,-0.04307845018281537,NA,1051,NA,NA
ALL A200 A_Wet - ALL H3700 A_Wet,0.30915811050920106,NA,1051,NA,NA
ALL A200 A_Wet - ANT H3700 A_Wet,-0.7320061287460347,NA,1051,NA,NA
ALL A200 A_Wet - CN1 H3700 A_Wet,-0.10252887092728372,NA,1051,NA,NA
ALL A200 A_Wet - VER H3700 A_Wet,-0.029906787691344645,NA,1051,NA,NA
ALL A200 A_Wet - ALL A200 B_Dry,0.003881712432541235,NA,1051,NA,NA
ALL A200 A_Wet - ANT A200 B_Dry,-0.03728252682269444,NA,1051,NA,NA
ALL A200 A_Wet - CN1 A200 B_Dry,-0.06193559585480607,NA,1051,NA,NA
ALL A200 A_Wet - VER A200 B_Dry,0.009789030573668055,NA,1051,NA,NA
ALL A200 A_Wet - ALL B700 B_Dry,-0.015552697310112079,NA,1051,NA,NA
ALL A200 A_Wet - ANT B700 B_Dry,-0.04675122307731213,NA,1051,NA,NA
ALL A200 A_Wet - CN1 B700 B_Dry,-0.04097454831851282,NA,1051,NA,NA
ALL A200 A_Wet - VER B700 B_Dry,-0.0025250277540809396,NA,1051,NA,NA
ALL A200 A_Wet - ALL C1200 B_Dry,-0.008665928339616217,NA,1051,NA,NA
ALL A200 A_Wet - ANT C1200 B_Dry,-0.09681650155054712,NA,1051,NA,NA
ALL A200 A_Wet - CN1 C1200 B_Dry,-0.07389528758087859,NA,1051,NA,NA
ALL A200 A_Wet - VER C1200 B_Dry,-0.015266905540616224,NA,1051,NA,NA
